"Name"	"Conditions"	"logFC"	"hovertext"
"CAGL0D05280g"	"log(0.5H/0H)"	-1.121	"CAGL0D05280g - -1.121"
"CAGL0D05434g"	"log(0.5H/0H)"	2.163	"CAGL0D05434g - 2.163"
"CAGL0D05940g"	"log(0.5H/0H)"	0.544	"CAGL0D05940g - 0.544"
"CAGL0D06402g"	"log(0.5H/0H)"	-1.158	"CAGL0D06402g - -1.158"
"CAGL0D06424g"	"log(0.5H/0H)"	-0.275	"CAGL0D06424g - -0.275"
"CAGL0D06600g"	"log(0.5H/0H)"	0.782	"CAGL0D06600g - 0.782"
"CAGL0E00737g"	"log(0.5H/0H)"	0.368	"CAGL0E00737g - 0.368"
"CAGL0E00803g"	"log(0.5H/0H)"	1.049	"CAGL0E00803g - 1.049"
"CAGL0E01155g"	"log(0.5H/0H)"	-0.64	"CAGL0E01155g - -0.64"
"CAGL0E01243g"	"log(0.5H/0H)"	1.81	"CAGL0E01243g - 1.81"
"CAGL0E01287g"	"log(0.5H/0H)"	0.338	"CAGL0E01287g - 0.338"
"CAGL0E01705g"	"log(0.5H/0H)"	-0.521	"CAGL0E01705g - -0.521"
"CAGL0E01727g"	"log(0.5H/0H)"	-2.4	"CAGL0E01727g - -2.4"
"CAGL0E01771g"	"log(0.5H/0H)"	0.879	"CAGL0E01771g - 0.879"
"CAGL0E01793g"	"log(0.5H/0H)"	0.808	"CAGL0E01793g - 0.808"
"CAGL0E01815g"	"log(0.5H/0H)"	1.02	"CAGL0E01815g - 1.02"
"CAGL0E01837g"	"log(0.5H/0H)"	2.063	"CAGL0E01837g - 2.063"
"CAGL0E01881g"	"log(0.5H/0H)"	0.051	"CAGL0E01881g - 0.051"
"CAGL0E01991g"	"log(0.5H/0H)"	-0.54	"CAGL0E01991g - -0.54"
"CAGL0E02013g"	"log(0.5H/0H)"	-0.83	"CAGL0E02013g - -0.83"
"CAGL0E02255g"	"log(0.5H/0H)"	-0.871	"CAGL0E02255g - -0.871"
"CAGL0E02651g"	"log(0.5H/0H)"	0.727	"CAGL0E02651g - 0.727"
"CAGL0E03025g"	"log(0.5H/0H)"	0.558	"CAGL0E03025g - 0.558"
"CAGL0E03289g"	"log(0.5H/0H)"	-0.252	"CAGL0E03289g - -0.252"
"CAGL0E03520g"	"log(0.5H/0H)"	0.059	"CAGL0E03520g - 0.059"
"CAGL0E03850g"	"log(0.5H/0H)"	0.284	"CAGL0E03850g - 0.284"
"CAGL0E03916g"	"log(0.5H/0H)"	-1.321	"CAGL0E03916g - -1.321"
"CAGL0E03938g"	"log(0.5H/0H)"	-0.163	"CAGL0E03938g - -0.163"
"CAGL0E04092g"	"log(0.5H/0H)"	0.086	"CAGL0E04092g - 0.086"
"CAGL0E04224g"	"log(0.5H/0H)"	3.089	"CAGL0E04224g - 3.089"
"CAGL0E04334g"	"log(0.5H/0H)"	0.485	"CAGL0E04334g - 0.485"
"CAGL0E04510g"	"log(0.5H/0H)"	0.162	"CAGL0E04510g - 0.162"
"CAGL0E04548g"	"log(0.5H/0H)"	-0.228	"CAGL0E04548g - -0.228"
"CAGL0E04554g"	"log(0.5H/0H)"	-1.718	"CAGL0E04554g - -1.718"
"CAGL0E04884g"	"log(0.5H/0H)"	0.728	"CAGL0E04884g - 0.728"
"CAGL0E04994g"	"log(0.5H/0H)"	-0.435	"CAGL0E04994g - -0.435"
"CAGL0E05148g"	"log(0.5H/0H)"	2.131	"CAGL0E05148g - 2.131"
"CAGL0E05170g"	"log(0.5H/0H)"	-0.196	"CAGL0E05170g - -0.196"
"CAGL0E05346g"	"log(0.5H/0H)"	0.511	"CAGL0E05346g - 0.511"
"CAGL0E05456g"	"log(0.5H/0H)"	-3.161	"CAGL0E05456g - -3.161"
"CAGL0E05500g"	"log(0.5H/0H)"	-0.675	"CAGL0E05500g - -0.675"
"CAGL0E05588g"	"log(0.5H/0H)"	0	"CAGL0E05588g - 0"
"CAGL0E05654g"	"log(0.5H/0H)"	-1.817	"CAGL0E05654g - -1.817"
"CAGL0E05830g"	"log(0.5H/0H)"	-0.358	"CAGL0E05830g - -0.358"
"CAGL0E06072g"	"log(0.5H/0H)"	-0.074	"CAGL0E06072g - -0.074"
"CAGL0E06116g"	"log(0.5H/0H)"	-1.765	"CAGL0E06116g - -1.765"
"CAGL0E06138g"	"log(0.5H/0H)"	0.066	"CAGL0E06138g - 0.066"
"CAGL0E06380g"	"log(0.5H/0H)"	0.333	"CAGL0E06380g - 0.333"
"CAGL0E06424g"	"log(0.5H/0H)"	0.462	"CAGL0E06424g - 0.462"
"CAGL0F00187g"	"log(0.5H/0H)"	1.061	"CAGL0F00187g - 1.061"
"CAGL0F00209g"	"log(0.5H/0H)"	0.21	"CAGL0F00209g - 0.21"
"CAGL0F00231g"	"log(0.5H/0H)"	-0.036	"CAGL0F00231g - -0.036"
"CAGL0F00407g"	"log(0.5H/0H)"	-0.811	"CAGL0F00407g - -0.811"
"CAGL0F00429g"	"log(0.5H/0H)"	-0.678	"CAGL0F00429g - -0.678"
"CAGL0F00605g"	"log(0.5H/0H)"	2.955	"CAGL0F00605g - 2.955"
"CAGL0F00649g"	"log(0.5H/0H)"	0.651	"CAGL0F00649g - 0.651"
"CAGL0F00715g"	"log(0.5H/0H)"	0.653	"CAGL0F00715g - 0.653"
"CAGL0F01045g"	"log(0.5H/0H)"	-0.262	"CAGL0F01045g - -0.262"
"CAGL0F01265g"	"log(0.5H/0H)"	0.926	"CAGL0F01265g - 0.926"
"CAGL0F01419g"	"log(0.5H/0H)"	1.53	"CAGL0F01419g - 1.53"
"CAGL0F01463g"	"log(0.5H/0H)"	1.102	"CAGL0F01463g - 1.102"
"CAGL0F01485g"	"log(0.5H/0H)"	0.847	"CAGL0F01485g - 0.847"
"CAGL0F01749g"	"log(0.5H/0H)"	-1.415	"CAGL0F01749g - -1.415"
"CAGL0F02101g"	"log(0.5H/0H)"	1.164	"CAGL0F02101g - 1.164"
"CAGL0F02145g"	"log(0.5H/0H)"	1.181	"CAGL0F02145g - 1.181"
"CAGL0F02233g"	"log(0.5H/0H)"	0.167	"CAGL0F02233g - 0.167"
"CAGL0F02431g"	"log(0.5H/0H)"	-0.833	"CAGL0F02431g - -0.833"
"CAGL0F02513g"	"log(0.5H/0H)"	0.159	"CAGL0F02513g - 0.159"
"CAGL0F02563g"	"log(0.5H/0H)"	-0.571	"CAGL0F02563g - -0.571"
"CAGL0F03399g"	"log(0.5H/0H)"	0.286	"CAGL0F03399g - 0.286"
"CAGL0F03553g"	"log(0.5H/0H)"	0.571	"CAGL0F03553g - 0.571"
"CAGL0F03861g"	"log(0.5H/0H)"	-0.141	"CAGL0F03861g - -0.141"
"CAGL0F03927g"	"log(0.5H/0H)"	-1.081	"CAGL0F03927g - -1.081"
"CAGL0F03993g"	"log(0.5H/0H)"	0.112	"CAGL0F03993g - 0.112"
"CAGL0F04191g"	"log(0.5H/0H)"	0.065	"CAGL0F04191g - 0.065"
"CAGL0F04213g"	"log(0.5H/0H)"	0.198	"CAGL0F04213g - 0.198"
"CAGL0F04411g"	"log(0.5H/0H)"	-0.504	"CAGL0F04411g - -0.504"
"CAGL0F04565g"	"log(0.5H/0H)"	0.914	"CAGL0F04565g - 0.914"
"CAGL0F04631g"	"log(0.5H/0H)"	0.551	"CAGL0F04631g - 0.551"
"CAGL0F04719g"	"log(0.5H/0H)"	1.874	"CAGL0F04719g - 1.874"
"CAGL0F04807g"	"log(0.5H/0H)"	1.651	"CAGL0F04807g - 1.651"
"CAGL0F04895g"	"log(0.5H/0H)"	3.178	"CAGL0F04895g - 3.178"
"CAGL0F04917g"	"log(0.5H/0H)"	1.31	"CAGL0F04917g - 1.31"
"CAGL0F05071g"	"log(0.5H/0H)"	-0.331	"CAGL0F05071g - -0.331"
"CAGL0F05093g"	"log(0.5H/0H)"	-0.516	"CAGL0F05093g - -0.516"
"CAGL0F05687g"	"log(0.5H/0H)"	-0.075	"CAGL0F05687g - -0.075"
"CAGL0F05709g"	"log(0.5H/0H)"	-0.84	"CAGL0F05709g - -0.84"
"CAGL0F05863g"	"log(0.5H/0H)"	0.486	"CAGL0F05863g - 0.486"
"CAGL0F06413g"	"log(0.5H/0H)"	1.21	"CAGL0F06413g - 1.21"
"CAGL0F06501g"	"log(0.5H/0H)"	-0.692	"CAGL0F06501g - -0.692"
"CAGL0F06677g"	"log(0.5H/0H)"	-0.775	"CAGL0F06677g - -0.775"
"CAGL0F07029g"	"log(0.5H/0H)"	-0.596	"CAGL0F07029g - -0.596"
"CAGL0F07117g"	"log(0.5H/0H)"	0.54	"CAGL0F07117g - 0.54"
"CAGL0F07513g"	"log(0.5H/0H)"	0.854	"CAGL0F07513g - 0.854"
"CAGL0F07865g"	"log(0.5H/0H)"	0.041	"CAGL0F07865g - 0.041"
"CAGL0F07953g"	"log(0.5H/0H)"	0.713	"CAGL0F07953g - 0.713"
"CAGL0F08019g"	"log(0.5H/0H)"	-0.894	"CAGL0F08019g - -0.894"
"CAGL0F08085g"	"log(0.5H/0H)"	-0.781	"CAGL0F08085g - -0.781"
"CAGL0F08195g"	"log(0.5H/0H)"	-0.363	"CAGL0F08195g - -0.363"
"CAGL0F08217g"	"log(0.5H/0H)"	0.179	"CAGL0F08217g - 0.179"
"CAGL0F08261g"	"log(0.5H/0H)"	-0.863	"CAGL0F08261g - -0.863"
"CAGL0F08745g"	"log(0.5H/0H)"	2.591	"CAGL0F08745g - 2.591"
"CAGL0G01122g"	"log(0.5H/0H)"	-1	"CAGL0G01122g - -1"
"CAGL0G01166g"	"log(0.5H/0H)"	0.063	"CAGL0G01166g - 0.063"
"CAGL0G01540g"	"log(0.5H/0H)"	1.371	"CAGL0G01540g - 1.371"
"CAGL0G01826g"	"log(0.5H/0H)"	-0.886	"CAGL0G01826g - -0.886"
"CAGL0G02255g"	"log(0.5H/0H)"	0.956	"CAGL0G02255g - 0.956"
"CAGL0G02409g"	"log(0.5H/0H)"	-0.827	"CAGL0G02409g - -0.827"
"CAGL0G02563g"	"log(0.5H/0H)"	0.999	"CAGL0G02563g - 0.999"
"CAGL0G02585g"	"log(0.5H/0H)"	-0.824	"CAGL0G02585g - -0.824"
"CAGL0G02849g"	"log(0.5H/0H)"	2.281	"CAGL0G02849g - 2.281"
"CAGL0G02937g"	"log(0.5H/0H)"	2.187	"CAGL0G02937g - 2.187"
"CAGL0G03289g"	"log(0.5H/0H)"	0.011	"CAGL0G03289g - 0.011"
"CAGL0G03575g"	"log(0.5H/0H)"	-0.714	"CAGL0G03575g - -0.714"
"CAGL0G03883g"	"log(0.5H/0H)"	0.826	"CAGL0G03883g - 0.826"
"CAGL0G03905g"	"log(0.5H/0H)"	-1.365	"CAGL0G03905g - -1.365"
"CAGL0G04433g"	"log(0.5H/0H)"	-0.676	"CAGL0G04433g - -0.676"
"CAGL0G04499g"	"log(0.5H/0H)"	0.713	"CAGL0G04499g - 0.713"
"CAGL0G04763g"	"log(0.5H/0H)"	-1.533	"CAGL0G04763g - -1.533"
"CAGL0G05566g"	"log(0.5H/0H)"	0.119	"CAGL0G05566g - 0.119"
"CAGL0G05698g"	"log(0.5H/0H)"	0.23	"CAGL0G05698g - 0.23"
"CAGL0G05764g"	"log(0.5H/0H)"	-0.448	"CAGL0G05764g - -0.448"
"CAGL0G05830g"	"log(0.5H/0H)"	0.688	"CAGL0G05830g - 0.688"
"CAGL0G05874g"	"log(0.5H/0H)"	-0.686	"CAGL0G05874g - -0.686"
"CAGL0G05962g"	"log(0.5H/0H)"	0.595	"CAGL0G05962g - 0.595"
"CAGL0G06006g"	"log(0.5H/0H)"	2.441	"CAGL0G06006g - 2.441"
"CAGL0G06050g"	"log(0.5H/0H)"	2.206	"CAGL0G06050g - 2.206"
"CAGL0G06248g"	"log(0.5H/0H)"	-0.947	"CAGL0G06248g - -0.947"
"CAGL0G06402g"	"log(0.5H/0H)"	-0.025	"CAGL0G06402g - -0.025"
"CAGL0G06468g"	"log(0.5H/0H)"	-0.657	"CAGL0G06468g - -0.657"
"CAGL0G06490g"	"log(0.5H/0H)"	-0.337	"CAGL0G06490g - -0.337"
"CAGL0G06732g"	"log(0.5H/0H)"	0.186	"CAGL0G06732g - 0.186"
"CAGL0G06798g"	"log(0.5H/0H)"	2.027	"CAGL0G06798g - 2.027"
"CAGL0G06952g"	"log(0.5H/0H)"	1.452	"CAGL0G06952g - 1.452"
"CAGL0G07106g"	"log(0.5H/0H)"	-0.754	"CAGL0G07106g - -0.754"
"CAGL0G07711g"	"log(0.5H/0H)"	0.726	"CAGL0G07711g - 0.726"
"CAGL0G07821g"	"log(0.5H/0H)"	-0.348	"CAGL0G07821g - -0.348"
"CAGL0G08019g"	"log(0.5H/0H)"	-1.729	"CAGL0G08019g - -1.729"
"CAGL0G08041g"	"log(0.5H/0H)"	-0.25	"CAGL0G08041g - -0.25"
"CAGL0G08712g"	"log(0.5H/0H)"	1.067	"CAGL0G08712g - 1.067"
"CAGL0G08734g"	"log(0.5H/0H)"	-0.284	"CAGL0G08734g - -0.284"
"CAGL0G09064g"	"log(0.5H/0H)"	-0.971	"CAGL0G09064g - -0.971"
"CAGL0G09130g"	"log(0.5H/0H)"	-0.763	"CAGL0G09130g - -0.763"
"CAGL0G09383g"	"log(0.5H/0H)"	0.142	"CAGL0G09383g - 0.142"
"CAGL0G09691g"	"log(0.5H/0H)"	0.114	"CAGL0G09691g - 0.114"
"CAGL0G09977g"	"log(0.5H/0H)"	0.68	"CAGL0G09977g - 0.68"
"CAGL0G10131g"	"log(0.5H/0H)"	0.777	"CAGL0G10131g - 0.777"
"CAGL0G10153g"	"log(0.5H/0H)"	0.954	"CAGL0G10153g - 0.954"
"CAGL0G10175g"	"log(0.5H/0H)"	2.095	"CAGL0G10175g - 2.095"
"CAGL0H00418g"	"log(0.5H/0H)"	2.739	"CAGL0H00418g - 2.739"
"CAGL0H00440g"	"log(0.5H/0H)"	-0.715	"CAGL0H00440g - -0.715"
"CAGL0H00506g"	"log(0.5H/0H)"	0.117	"CAGL0H00506g - 0.117"
"CAGL0H00572g"	"log(0.5H/0H)"	0.968	"CAGL0H00572g - 0.968"
"CAGL0H00594g"	"log(0.5H/0H)"	0.519	"CAGL0H00594g - 0.519"
"CAGL0H00682g"	"log(0.5H/0H)"	0.329	"CAGL0H00682g - 0.329"
"CAGL0H00704g"	"log(0.5H/0H)"	-0.85	"CAGL0H00704g - -0.85"
"CAGL0H00825g"	"log(0.5H/0H)"	-0.696	"CAGL0H00825g - -0.696"
"CAGL0H02101g"	"log(0.5H/0H)"	1.305	"CAGL0H02101g - 1.305"
"CAGL0H02387g"	"log(0.5H/0H)"	2.373	"CAGL0H02387g - 2.373"
"CAGL0H02491g"	"log(0.5H/0H)"	0.958	"CAGL0H02491g - 0.958"
"CAGL0H02563g"	"log(0.5H/0H)"	1.848	"CAGL0H02563g - 1.848"
"CAGL0H02585g"	"log(0.5H/0H)"	0.893	"CAGL0H02585g - 0.893"
"CAGL0H02893g"	"log(0.5H/0H)"	1.504	"CAGL0H02893g - 1.504"
"CAGL0H02959g"	"log(0.5H/0H)"	-0.377	"CAGL0H02959g - -0.377"
"CAGL0H03179g"	"log(0.5H/0H)"	0.063	"CAGL0H03179g - 0.063"
"CAGL0H03487g"	"log(0.5H/0H)"	0.42	"CAGL0H03487g - 0.42"
"CAGL0H03751g"	"log(0.5H/0H)"	0.03	"CAGL0H03751g - 0.03"
"CAGL0H03795g"	"log(0.5H/0H)"	0.394	"CAGL0H03795g - 0.394"
"CAGL0H03993g"	"log(0.5H/0H)"	-0.599	"CAGL0H03993g - -0.599"
"CAGL0H04037g"	"log(0.5H/0H)"	1.037	"CAGL0H04037g - 1.037"
"CAGL0H04081g"	"log(0.5H/0H)"	1.16	"CAGL0H04081g - 1.16"
"CAGL0H04125g"	"log(0.5H/0H)"	-0.354	"CAGL0H04125g - -0.354"
"CAGL0H04191g"	"log(0.5H/0H)"	0.059	"CAGL0H04191g - 0.059"
"CAGL0H04851g"	"log(0.5H/0H)"	-1.249	"CAGL0H04851g - -1.249"
"CAGL0H04939g"	"log(0.5H/0H)"	1.289	"CAGL0H04939g - 1.289"
"CAGL0H05137g"	"log(0.5H/0H)"	-0.605	"CAGL0H05137g - -0.605"
"CAGL0H05445g"	"log(0.5H/0H)"	0.198	"CAGL0H05445g - 0.198"
"CAGL0H05643g"	"log(0.5H/0H)"	-0.693	"CAGL0H05643g - -0.693"
"CAGL0H06545g"	"log(0.5H/0H)"	0.57	"CAGL0H06545g - 0.57"
"CAGL0H06699g"	"log(0.5H/0H)"	-0.116	"CAGL0H06699g - -0.116"
"CAGL0H06787g"	"log(0.5H/0H)"	-0.228	"CAGL0H06787g - -0.228"
"CAGL0H07051g"	"log(0.5H/0H)"	-0.663	"CAGL0H07051g - -0.663"
"CAGL0H07337g"	"log(0.5H/0H)"	3.169	"CAGL0H07337g - 3.169"
